Key,Source,Context,Example,en,fr
shop.equip,Equip,JutsuBattlegrounds,,Equip,Équiper
shop.equipped,Equipped,JutsuBattlegrounds,,Equipped,Équipé
shop.notEnoughRyo,Not enough Ryo.,JutsuBattlegrounds,,Not enough Ryo.,Pas assez de Ryo.
shop.owned,Owned,JutsuBattlegrounds,,Owned,Possédé
shop.purchased,Purchased: {name},JutsuBattlegrounds,,Purchased: {name},Acheté : {name}
shop.rarity.Common,Common,JutsuBattlegrounds,,Common,Commun
shop.rarity.Epic,Epic,JutsuBattlegrounds,,Epic,Épique
shop.rarity.Legendary,Legendary,JutsuBattlegrounds,,Legendary,Légendaire
shop.rarity.Rare,Rare,JutsuBattlegrounds,,Rare,Rare
shop.rotation,Today's selection,JutsuBattlegrounds,,Today's selection,Sélection du jour
shop.title,Shop,JutsuBattlegrounds,,Shop,Boutique
status.conductive,Conductive,JutsuBattlegrounds,,Conductive,Conducteur
status.fanned,Fanned,JutsuBattlegrounds,,Fanned,Éventé
status.stoneSkin,Stone Skin,JutsuBattlegrounds,,Stone Skin,Peau de Pierre
